"region","suspected","confirmed","deaths"
"Вінницька",123,49,0
"Волинська",129,7,0
"Дніпропетровська",84,9,0
"Донецька",71,6,0
"Житомирська",60,5,1
"Закарпатська",14,1,0
"Запорізька",72,13,0
"Івано-Франківська",275,64,3
"Київська",262,49,2
"Кіровоградська",75,6,0
"Луганська",12,3,0
"Львівська",269,6,0
"Київ",713,142,1
"Миколаївська",50,0,0
"Одеська",213,12,0
"Полтавська",29,2,0
"Рівненська",99,15,3
"Сумська",79,19,2
"Тернопільська",191,98,1
"Харківська",10,1,0
"Херсонська",41,1,0
"Хмельницька",26,3,0
"Черкаська",149,52,0
"Чернівецька",223,104,4
"Чернігівська",6,2,0
