"zvit_date","new_confirm","comsum"
2020-01-01,0,0
2020-01-05,0,0
2020-01-09,0,0
2020-01-22,0,0
2020-01-27,0,0
2020-01-29,0,0
2020-01-31,0,0
2020-02-10,0,0
2020-02-12,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,1,1
2020-03-03,0,1
2020-03-04,1,2
2020-03-05,0,2
2020-03-06,1,3
2020-03-07,1,4
2020-03-08,0,4
2020-03-09,0,4
2020-03-10,0,4
2020-03-11,0,4
2020-03-12,2,6
2020-03-13,0,6
2020-03-14,5,11
2020-03-15,3,14
2020-03-16,0,14
2020-03-17,8,22
2020-03-18,2,24
2020-03-19,11,35
2020-03-20,26,61
2020-03-21,13,74
2020-03-22,9,83
2020-03-23,22,105
2020-03-24,33,138
2020-03-25,55,193
2020-03-26,75,268
2020-03-27,73,341
2020-03-28,107,448
2020-03-29,80,528
2020-03-30,81,609
2020-03-31,134,743
2020-04-01,161,904
2020-04-02,122,1026
2020-04-03,156,1182
2020-04-04,166,1348
2020-04-05,102,1450
2020-04-06,184,1634
2020-04-07,165,1799
2020-04-08,287,2086
2020-04-09,256,2342
2020-04-10,406,2748
2020-04-11,341,3089
2020-04-12,204,3293
2020-04-13,273,3566
2020-04-14,412,3978
2020-04-15,460,4438
2020-04-16,545,4983
2020-04-17,386,5369
2020-04-18,374,5743
2020-04-19,291,6034
2020-04-20,415,6449
2020-04-21,426,6875
2020-04-22,596,7471
2020-04-23,388,7859
2020-04-24,547,8406
2020-04-25,492,8898
2020-04-26,331,9229
2020-04-27,427,9656
2020-04-28,473,10129
2020-04-29,524,10653
2020-04-30,483,11136
2020-05-01,472,11608
2020-05-02,495,12103
2020-05-03,409,12512
2020-05-04,400,12912
2020-05-05,516,13428
2020-05-06,505,13933
2020-05-07,543,14476
2020-05-08,508,14984
2020-05-09,548,15532
2020-05-10,381,15913
2020-05-11,344,16257
2020-05-12,447,16704
2020-05-13,439,17143
2020-05-14,495,17638
2020-05-15,522,18160
2020-05-16,452,18612
2020-05-17,244,18856
2020-05-18,284,19140
2020-05-19,384,19524
2020-05-20,475,19999
2020-05-21,428,20427
2020-05-22,465,20892
2020-05-23,323,21215
2020-05-24,287,21502
2020-05-25,374,21876
2020-05-26,361,22237
2020-05-27,460,22697
2020-05-28,538,23235
2020-05-29,484,23719
2020-05-30,421,24140
2020-05-31,259,24399
2020-06-01,399,24798
2020-06-02,530,25328
2020-06-03,587,25915
2020-06-04,603,26518
2020-06-05,534,27052
2020-06-06,565,27617
2020-06-07,415,28032
2020-06-08,422,28454
2020-06-09,633,29087
2020-06-10,817,29904
2020-06-11,706,30610
2020-06-12,704,31314
2020-06-13,719,32033
2020-06-14,626,32659
2020-06-15,640,33299
2020-06-16,870,34169
2020-06-17,911,35080
2020-06-18,874,35954
2020-06-19,975,36929
2020-06-20,659,37588
2020-06-21,577,38165
2020-06-22,985,39150
2020-06-23,1033,40183
2020-06-24,947,41130
2020-06-25,1075,42205
2020-06-26,1174,43379
2020-06-27,753,44132
2020-06-28,737,44869
2020-06-29,521,45390
2020-06-30,852,46242
2020-07-01,933,47175
2020-07-02,1000,48175
2020-07-03,872,49047
2020-07-04,607,49654
2020-07-05,513,50167
2020-07-06,690,50857
2020-07-07,849,51706
2020-07-08,828,52534
2020-07-09,831,53365
2020-07-10,908,54273
2020-07-11,658,54931
2020-07-12,430,55361
2020-07-13,666,56027
2020-07-14,820,56847
2020-07-15,820,57667
2020-07-16,832,58499
2020-07-17,862,59361
2020-07-18,738,60099
2020-07-19,498,60597
2020-07-20,748,61345
2020-07-21,900,62245
2020-07-22,1009,63254
2020-07-23,1312,64566
2020-07-24,1211,65777
2020-07-25,827,66604
2020-07-26,665,67269
2020-07-27,1053,68322
2020-07-28,1274,69596
2020-07-29,1245,70841
2020-07-30,1318,72159
2020-07-31,1431,73590
2020-08-01,1058,74648
2020-08-02,678,75326
2020-08-03,1226,76552
2020-08-04,1506,78058
2020-08-05,1540,79598
2020-08-06,1418,81016
2020-08-07,1533,82549
2020-08-08,1114,83663
2020-08-09,754,84417
2020-08-10,1359,85776
2020-08-11,1804,87580
2020-08-12,1892,89472
2020-08-13,1807,91279
2020-08-14,1808,93087
2020-08-15,1710,94797
2020-08-16,1052,95849
2020-08-17,2012,97861
2020-08-18,2403,100264
2020-08-19,2092,102356
2020-08-20,2409,104765
2020-08-21,2503,107268
2020-08-22,1846,109114
2020-08-23,1368,110482
2020-08-24,1647,112129
2020-08-25,1967,114096
2020-08-26,2358,116454
2020-08-27,2604,119058
2020-08-28,2823,121881
2020-08-29,1903,123784
2020-08-30,1514,125298
2020-08-31,2816,128114
2020-09-01,2580,130694
2020-09-02,2815,133509
2020-09-03,2967,136476
2020-09-04,2951,139427
2020-09-05,2312,141739
2020-09-06,1896,143635
2020-09-07,2572,146207
2020-09-08,2927,149134
2020-09-09,3436,152570
2020-09-10,3487,156057
2020-09-11,3528,159585
2020-09-12,2673,162258
2020-09-13,2161,164419
2020-09-14,3408,167827
2020-09-15,3522,171349
2020-09-16,3866,175215
2020-09-17,3817,179032
2020-09-18,3702,182734
2020-09-19,3137,185871
2020-09-20,2301,188172
2020-09-21,3482,191654
2020-09-22,4030,195684
2020-09-23,4172,199856
2020-09-24,4178,204034
2020-09-25,4462,208496
2020-09-26,3176,211672
2020-09-27,2179,213851
2020-09-28,3923,217774
2020-09-29,5319,223093
2020-09-30,5597,228690
2020-10-01,5753,234443
2020-10-02,5617,240060
2020-10-03,4828,244888
2020-10-04,2759,247647
2020-10-05,5787,253434
2020-10-06,6514,259948
2020-10-07,6779,266727
2020-10-08,6960,273687
2020-10-09,7441,281128
2020-10-10,5472,286600
2020-10-11,3621,290221
2020-10-12,6514,296735
2020-10-13,7173,303908
2020-10-14,5843,309751
2020-10-15,7463,317214
2020-10-16,7575,324789
2020-10-17,6484,331273
2020-10-18,3591,334864
2020-10-19,7170,342034
2020-10-20,8205,350239
2020-10-21,8506,358745
2020-10-22,9018,367763
2020-10-23,10055,377818
2020-10-24,8388,386206
2020-10-25,4969,391175
2020-10-26,8747,399922
2020-10-27,9819,409741
2020-10-28,10606,420347
2020-10-29,11379,431726
2020-10-30,12459,444185
2020-10-31,9044,453229
2020-11-01,6071,459300
2020-11-02,10414,469714
2020-11-03,10647,480361
2020-11-04,11164,491525
2020-11-05,12022,503547
2020-11-06,12515,516062
2020-11-07,10289,526351
2020-11-08,7065,533416
2020-11-09,11825,545241
2020-11-10,12488,557729
2020-11-11,13038,570767
2020-11-12,12621,583388
2020-11-13,13843,597231
2020-11-14,10824,608055
