"registration_area","new_susp","new_confirm","new_death","is_medical","med_percent"
"Вінницька",10308,8418,148,942,11.1903064861012
"Волинська",12740,10986,222,1140,10.3768432550519
"Дніпропетровська",12692,11108,239,462,4.1591645660785
"Донецька",7527,7133,77,185,2.59357913921211
"Житомирська",11638,10095,171,789,7.81575037147103
"Закарпатська",13048,11825,333,1129,9.54756871035941
"Запорізька",7262,6483,95,586,9.03902514268086
"Івано-Франківська",21142,16766,387,1178,7.02612429917691
"Київська",16543,12924,286,1342,10.3837821108016
"Кіровоградська",3377,1591,72,292,18.3532369578881
"Луганська",3267,2467,43,240,9.72841507904337
"Львівська",27276,25103,704,1289,5.13484444090348
"Миколаївська",7374,5865,118,331,5.64364876385337
"м. Київ",44690,30848,587,1565,5.07326244813278
"Одеська",20858,19079,288,570,2.98757796530216
"Полтавська",10887,6051,101,378,6.24690133862172
"Рівненська",25139,16034,201,1234,7.69614569040788
"Сумська",11169,9104,128,488,5.36028119507909
"Тернопільська",24552,17503,228,1516,8.66137233617094
"Харківська",31048,29113,445,670,2.3013773915433
"Херсонська",2919,2570,51,154,5.99221789883268
"Хмельницька",12445,11035,181,1016,9.20706841866788
"Черкаська",8812,6892,70,620,8.9959373186303
"Чернівецька",19478,17865,411,1249,6.99132381752029
"Чернігівська",7085,6779,87,229,3.37807936273787
