"zvit_date","registration_area","is_medical","medical_comsum","medical_percent","medical_total","percent_total"
2020-03-02,"Чернівецька",0,0,0,2072,4.93145468392993
2020-03-04,"м. Київ",0,0,0,5357,4.48690029482712
2020-03-06,"м. Київ",0,0,0,5357,4.48690029482712
2020-03-07,"м. Київ",0,0,0,5357,4.48690029482712
2020-03-12,"Житомирська",0,0,0,1850,4.43996448028416
2020-03-12,"Чернівецька",0,0,0,2072,4.93145468392993
2020-03-14,"м. Київ",0,0,0,5357,4.48690029482712
2020-03-14,"Рівненська",0,0,0,2652,6.14201676779842
2020-03-14,"Хмельницька",1,1,100,3262,7.8336255133162
2020-03-14,"Черкаська",0,0,0,3235,7.596749953034
2020-03-15,"м. Київ",0,0,0,5357,4.48690029482712
2020-03-15,"Чернівецька",0,0,0,2072,4.93145468392993
2020-03-17,"Київська",0,0,0,4369,6.79851861073074
2020-03-17,"м. Київ",0,0,0,5357,4.48690029482712
2020-03-17,"Чернівецька",0,0,0,2072,4.93145468392993
2020-03-18,"Донецька",0,0,0,1597,4.00040079156334
2020-03-18,"Київська",0,0,0,4369,6.79851861073074
2020-03-19,"Дніпропетровська",0,0,0,1162,1.8564672801636
2020-03-19,"Житомирська",0,0,0,1850,4.43996448028416
2020-03-19,"Івано-Франківська",0,0,0,2079,4.65986775748067
2020-03-19,"м. Київ",0,0,0,5357,4.48690029482712
2020-03-19,"Чернівецька",0,0,0,2072,4.93145468392993
2020-03-20,"Івано-Франківська",0,0,0,2079,4.65986775748067
2020-03-20,"Київська",0,0,0,4369,6.79851861073074
2020-03-20,"Львівська",0,0,0,2628,4.00817496873379
2020-03-20,"м. Київ",0,0,0,5357,4.48690029482712
2020-03-20,"Тернопільська",0,0,0,2709,7.64131783820377
2020-03-20,"Чернівецька",0,0,0,2072,4.93145468392993
2020-03-21,"м. Київ",0,0,0,5357,4.48690029482712
2020-03-22,"Івано-Франківська",2,2,40,2079,4.65986775748067
2020-03-22,"м. Київ",0,0,0,5357,4.48690029482712
2020-03-22,"Черкаська",0,0,0,3235,7.596749953034
2020-03-23,"Київська",0,0,0,4369,6.79851861073074
2020-03-23,"Львівська",0,0,0,2628,4.00817496873379
2020-03-23,"м. Київ",0,0,0,5357,4.48690029482712
2020-03-23,"Тернопільська",0,0,0,2709,7.64131783820377
2020-03-24,"Волинська",0,0,0,2481,7.18401621543362
2020-03-24,"Запорізька",0,0,0,3540,5.94298761038176
2020-03-24,"Київська",0,0,0,4369,6.79851861073074
2020-03-24,"Луганська",0,0,0,962,7.76432606941081
2020-03-24,"м. Київ",0,0,0,5357,4.48690029482712
2020-03-24,"Одеська",0,0,0,2512,3.27070557139695
2020-03-24,"Тернопільська",1,1,20,2709,7.64131783820377
2020-03-24,"Чернівецька",0,0,0,2072,4.93145468392993
2020-03-25,"Вінницька",1,1,100,1991,8.27136388184953
2020-03-25,"Волинська",1,1,50,2481,7.18401621543362
2020-03-25,"Дніпропетровська",0,0,0,1162,1.8564672801636
2020-03-25,"Запорізька",0,0,0,3540,5.94298761038176
2020-03-25,"Івано-Франківська",1,3,18.75,2079,4.65986775748067
2020-03-25,"Київська",0,0,0,4369,6.79851861073074
2020-03-25,"м. Київ",0,0,0,5357,4.48690029482712
2020-03-25,"Одеська",0,0,0,2512,3.27070557139695
2020-03-25,"Сумська",0,0,0,2309,5.3411982419616
2020-03-25,"Тернопільська",7,8,53.3333333333333,2709,7.64131783820377
2020-03-25,"Харківська",0,0,0,1166,1.58721515885764
2020-03-25,"Херсонська",0,0,0,366,1.89323401613904
2020-03-25,"Черкаська",0,0,0,3235,7.596749953034
2020-03-25,"Чернівецька",0,0,0,2072,4.93145468392993
2020-03-26,"Вінницька",6,7,53.8461538461538,1991,8.27136388184953
2020-03-26,"Донецька",0,0,0,1597,4.00040079156334
2020-03-26,"Житомирська",0,0,0,1850,4.43996448028416
2020-03-26,"Закарпатська",0,0,0,2249,7.68494788997096
2020-03-26,"Івано-Франківська",1,4,15.3846153846154,2079,4.65986775748067
2020-03-26,"Київська",0,0,0,4369,6.79851861073074
2020-03-26,"Львівська",0,0,0,2628,4.00817496873379
2020-03-26,"м. Київ",0,0,0,5357,4.48690029482712
2020-03-26,"Одеська",0,0,0,2512,3.27070557139695
2020-03-26,"Рівненська",0,0,0,2652,6.14201676779842
2020-03-26,"Сумська",0,0,0,2309,5.3411982419616
2020-03-26,"Тернопільська",4,12,46.1538461538462,2709,7.64131783820377
2020-03-26,"Чернівецька",0,0,0,2072,4.93145468392993
2020-03-27,"Вінницька",0,7,43.75,1991,8.27136388184953
2020-03-27,"Дніпропетровська",0,0,0,1162,1.8564672801636
2020-03-27,"Житомирська",0,0,0,1850,4.43996448028416
2020-03-27,"Запорізька",0,0,0,3540,5.94298761038176
2020-03-27,"Івано-Франківська",1,5,16.6666666666667,2079,4.65986775748067
2020-03-27,"Київська",0,0,0,4369,6.79851861073074
2020-03-27,"Луганська",0,0,0,962,7.76432606941081
2020-03-27,"Львівська",0,0,0,2628,4.00817496873379
2020-03-27,"м. Київ",0,0,0,5357,4.48690029482712
2020-03-27,"Одеська",0,0,0,2512,3.27070557139695
2020-03-27,"Полтавська",0,0,0,1482,3.72212176009644
2020-03-27,"Сумська",1,1,20,2309,5.3411982419616
2020-03-27,"Тернопільська",10,22,51.1627906976744,2709,7.64131783820377
2020-03-27,"Хмельницька",0,1,50,3262,7.8336255133162
2020-03-27,"Черкаська",0,0,0,3235,7.596749953034
2020-03-27,"Чернівецька",0,0,0,2072,4.93145468392993
2020-03-27,"Чернігівська",0,0,0,892,2.82019665496854
2020-03-28,"Вінницька",6,13,56.5217391304348,1991,8.27136388184953
2020-03-28,"Закарпатська",0,0,0,2249,7.68494788997096
2020-03-28,"Запорізька",0,0,0,3540,5.94298761038176
2020-03-28,"Івано-Франківська",3,8,18.6046511627907,2079,4.65986775748067
2020-03-28,"Київська",1,1,2.12765957446809,4369,6.79851861073074
2020-03-28,"Кіровоградська",0,0,0,856,9.42419905317626
2020-03-28,"Львівська",0,0,0,2628,4.00817496873379
2020-03-28,"м. Київ",1,1,1.05263157894737,5357,4.48690029482712
2020-03-28,"Одеська",0,0,0,2512,3.27070557139695
2020-03-28,"Сумська",0,1,16.6666666666667,2309,5.3411982419616
2020-03-28,"Тернопільська",4,26,45.6140350877193,2709,7.64131783820377
2020-03-28,"Черкаська",6,6,16.6666666666667,3235,7.596749953034
2020-03-29,"Дніпропетровська",0,0,0,1162,1.8564672801636
2020-03-29,"Донецька",0,0,0,1597,4.00040079156334
2020-03-29,"Запорізька",0,0,0,3540,5.94298761038176
2020-03-29,"Київська",0,1,1.96078431372549,4369,6.79851861073074
2020-03-29,"м. Київ",1,2,1.63934426229508,5357,4.48690029482712
2020-03-29,"Рівненська",0,0,0,2652,6.14201676779842
